job_title,category,description,summary_hourly,summary_salary,country,currency,rating,rating_count,gender_responses,male_count,female_count
Analytical Strategist,15-2030.00 - Operations Research Analysts,,,"The average pay for an Analytical Strategist is $78,129 per year.",US,USD,4.43,7.0,23.0,16.0,7.0
Analytics Manager,15-2030.00 - Operations Research Analysts,"Analytics managers are responsible for coordinating analytics tasks for their organization, including creating effective strategies to collect data, analyze information, conduct research, and implement analytics solutions for their products or services. They must also be able to measure performance, financial risks, and customer experience and motivate a team of specialists to complete objectives in a timely manner.
These managers must share information with other managers to fulfill projects before deadlines and have strong interpersonal skills to communicate key performance indicators. They often attend company meetings to suggest efficient ways to complete goals, and are also responsible for managing controls and processes to account for quality. They must strive to find business opportunities and analyze purchase trends and customer data in a variety of ways to improve satisfaction.
Analytics managers work in an office environment with a personal computer to run analyses on data and create complex reports, and they may share their findings with a vice president within the company. They are also tasked with delivering progress for operations, reviewing production performance, and managing schedules for future development, as well as facilitating technological approaches, implementing new hardware, and improving clients' experiences. They may handle cost and benefit analyses, efficiency utilization, and aligning goals for all business fronts, and after collecting enough data from concept, release, and research they must estimate performance, costs, and other forecasts.
A bachelor's degree in analytics, data management, or a related field is generally required for this position, and prior experience in analytics is highly beneficial. Industry certifications are also helpful.",The average pay for an Analytics Manager is $30.02 per hour.,"The average pay for an Analytics Manager is $104,767 per year.",US,USD,3.95,260.0,778.0,452.0,308.0
Android Software Developer,15-1030.00 - Computer Software Engineers,"Android software developers are in charge of creating effective mobile applications for their organization on the Android platform. They create software designed to meet company objectives and provide excellent customer satisfaction. Android software developers frequently collaborate with creative staff to integrate graphics and functionality into the applications. They evaluate frameworks to decide which will produce the best results using less resources. As part of their main responsibilities, they optimize application memory footprint and consumption to increase performance. They also create highly scalable software systems for increased efficiency. 
One of these software developers' main duties is to troubleshoot and debug web applications. They integrate different technologies to create a more robust end product; this means they must have vast experience with versioning and repository management. They create documentation for other developers, and share information as needed. Android software developers review code requirements and goals throughout the developing cycle to avoid issues during shipping. 
Android software developers typically work in an office setting during regular business hours. Their main tools consist of a personal computer with different software packages, as well as mobile environments to test code and find technical issues. A proficient knowledge of the Java computer language is required, as well as knowledge of other existing programming languages and touch-input methods. A bachelor's degree in software development is needed for this position. Proven experience in mobile programming is preferred.
They should possess superior interpersonal skills to communicate with other professionals and team members. They must be highly analytical, have strong problem-solving aptitudes, work well under pressure, and be results-oriented. 
",The average pay for an Android Software Developer is $42.86 per hour.,"The average pay for an Android Software Developer is $97,293 per year.",US,USD,3.84,30.0,104.0,85.0,19.0
Android Software Engineer,15-1030.00 - Computer Software Engineers,,The average pay for an Android Software Engineer is $40.69 per hour.,"The average pay for an Android Software Engineer is $101,862 per year.",US,USD,4.29,7.0,29.0,20.0,8.0
Application Architect,15-1030.00 - Unclassified Computer Software Engineers,"Application architects provide expertise, direction, and assistance in application architectural consulting to technical analysts, application engineers, senior database analysts, and other systems architects.
A bachelor’s degree in computer science, business administration, or a related field and at least eight years of relevant experience are generally required for this position. These architects are tasked with building quality applications by creating well-designed architectures, writing clean code, and implementing ongoing integration and unit test code coverage. Applicants may also need years of experience in Java, Spring, JUnit, Log4j, Gradle, and application development itself. Strong verbal and written communication skills are important in this position to work well with team members of various degrees of technical depth and knowledge, and some may also be tasked with mentoring others. Applicants must also be experienced, knowledgeable, and able to work independently as well as on teams.",The average pay for an Application Architect is $73.89 per hour.,"The average pay for an Application Architect is $122,717 per year.",US,USD,3.73,30.0,75.0,66.0,9.0
Application Developer,15-1030.00 - Computer Software Engineers,"Application developers help companies keep up with the latest technologies and developments on the web. As online technology becomes increasingly important, all types of businesses are seeking application developers--from banks to universities, news channels to hospitals. These applications (or apps) can be used on smartphones, computers, tablets and more. As such, application developers must be able to create, develop, manage and maintain new programs and software. These tasks require an excellent knowledge of programming, HTML, all sorts of developer software, in many cases Linus, and experience with relational databases.
It is expected in most positions that application developers must be able to work quickly and meet deadlines. Working as a application developer will require collaboration with others in the web and sometimes IT department, so good people and communication skills are necessary as well. Application developers may also be responsible for managing a team, or being part of a team, so it is expected that one is eager and able to collaborate with others.
Application developers should have at least an associate's or bachelor's degree in a design or an IT-related field. Some companies require a good degree of related work experience whereas some application developers can begin in an entry-level position working with teams of other developers. ",The average pay for an Application Developer is $34.44 per hour.,"The average pay for an Application Developer is $75,775 per year.",US,USD,4.04,260.0,765.0,595.0,162.0
Application Integration Engineer,15-1030.00 - Unclassified Computer Software Engineers,,The average pay for an Application Integration Engineer is $51.50 per hour.,"The average pay for an Application Integration Engineer is $87,429 per year.",US,USD,4.0,3.0,8.0,7.0,1.0
Application Support Analyst,15-1050.00 - Computer Systems Analysts,"Application support analysts assist users of computer and mobile applications. They must be able to think creatively in order to implement improvements, and they may also be involved in installing new software and making updates. Software must be tested prior to being implemented and then re-tested periodically. 
Problems may be detected from areas where users have consistently reported problems, or when users are unable to complete certain tasks. These analysts may receive inquiries from clients through chat, email, or phone, so customer service skills are beneficial in this position. Application support analysts may also create frequently-asked-questions (FAQ) lists and troubleshooting guides to minimize the number of inquiries made. Problems and bugs that are reported should be researched, followed by resolutions, and problems should then continue to be monitored. These support analysts perform many tasks independently, but it's also important that they work well with others in technical positions to successfully obtain conclusions.
A bachelor's degree in computer science or a related field may be required for this position, and some employers require experience, which can be obtained from prior employment or internships, while others provide on-the-job training to qualified candidates. Application support analysts must also stay up-to-date with all changes in the technological field to keep their skills current.",The average pay for an Application Support Analyst is $25.17 per hour.,"The average pay for an Application Support Analyst is $67,489 per year.",US,USD,3.7,134.0,368.0,196.0,169.0
"Applications Analyst, Software",15-1050.00 - Computer Systems Analysts,"An software applications analyst designs, develops, and tests software programs for computer-based systems. The programs built by application analysts range from server applications to applications used by consumers (e.g., business productivity software solutions). Products that have not been released have different requirements than released products, since released products require regular maintenance, testing, and troubleshooting; if a client spots a bug, these analysts must work to immediately fix it. An analyst must be able to work on a team successfully, since many programs are highly complex and require many hours of development and testing. The job is primarily completed in an office setting, and there is little to no physical or manual labor required.  
Application analysts generally have at least a bachelor’s degree in a relevant field such as computer science, mathematics, or engineering. More senior analysts may also have graduate degrees in computer science, mathematics, or business. The application analyst's hours may vary depending on the company and product life cycle. Most technology companies have established working hours (e.g., 9 a.m. to 5 p.m.). Some companies may require analysts to work longer or different hours; however, they may allow analysts to come in later than the typical beginning of the business day. ","The average pay for an Applications Analyst, Software is $33.41 per hour.","The average pay for an Applications Analyst, Software is $76,555 per year.",US,USD,4.11,55.0,137.0,72.0,63.0
"Applications Development Director, IT / Information Systems",11-3020.00 - Computer and Information Systems Managers,"Applications development directors for IT (information technology)/information systems are high-level managers that design and oversee IT projects that the organization will use to improve operations; they may also develop these applications for outside sales. The development director coordinates all team leads on the development project, as well as sets measurable goals and deadlines for these teams and stays in contact with team leads to ensure the project proceeds on schedule. These projects may be as diverse as developing a new intranet for company use and developing new reporting and assessment tools to be shared across departments and teams. The director is often responsible for continuing to improve applications that help maintain and improve the security of sensitive organizational emails. 
Much of this job may include striking a balance among various teams in the organizations to ensure IT projects move forward in an efficient manner. The development director may also work with managers in quality assurance testing to ensure that new applications are working as intended, while also taking feedback to add features or functionality requested by these quality teams.
To work as an applications development director for IT/information systems, a person typically must possess at least a bachelor’s degree in computer science or a related field; however, many companies prefer postbaccalaureate education as well. Experience in management for IT applications development and programming is generally required as well. The development director must have excellent communication and organizational skills. ",,"The average pay for an Applications Development Director, IT / Information Systems is $142,749 per year.",US,USD,4.08,13.0,26.0,20.0,6.0
Applications Development Manager,11-3020.00 - Computer and Information Systems Managers,"An applications development manager supervises applications developers who help create software. Given the number of industries employing software, applications development managers can be found in fields as diverse as healthcare, video game development, government, and military. An applications development manager can expect manager-level peers, entry-level subordinates, and director-level supervisors. Applications development managers may have customers and clients who are internal to the institutions that employ them, or they may have external customers and clients.
The schedule of an applications development manager varies. Being both technical and business-minded in nature, an applications development manager must allocate a certain portion out of a weekly schedule for meetings. These meetings serve to help applications developers provide status updates to the manager, resolve issues, and keep all team members synchronized with the objectives created by the applications development manager.
These managers typically must have a bachelor's degree in computer science, information technology, or another similar field of study. In addition to having technical skills, an applications development manager is expected to be effective at managing people; often, an advanced degree in business administration is strongly preferred. They must also have experience as both a member of technical staff and in technical management roles; on average, between five and 10 years of previous relevant experience is usually considered desirable.

",The average pay for an Applications Development Manager is $49.12 per hour.,"The average pay for an Applications Development Manager is $124,881 per year.",US,USD,4.0,44.0,124.0,98.0,26.0
"Applications Development Manager, Computer Software",11-3020.00 - Computer and Information Systems Managers,"Application development managers for computer software are responsible for leading the development of computer software and managing a team of software development engineers. They work with the staff to motivate them and provide overall project direction, along with technical expertise when required.  Additionally, application development managers are also part of the hiring process, and they help train new hires as well.  The typical day for application development managers might include several project update meetings with development team members, providing updates for leaders within their organization, helping resolve technical and logistical problems, and managing direct reports. They work in an office environment, usually with a computer, throughout most of the day.
The typical educational requirement for this position includes at least a bachelor’s degree in computer science or a related discipline; a master's degree may be required or preferred. Several years of software programming and leadership experience is needed as well. Experience in Visual Basic, ASP, C, C++, and/or Matlab may be needed based on the type of software development being conducted. Application development managers for computer software must have the ability to prioritize projects and deadlines on an ongoing basis, as there are often several competing development projects that all need attention. They must also have excellent interpersonal skills, demonstrating the ability to communicate regularly and promptly with the development team. They must be organized and detail-oriented to ensure that all deadlines and requirements are met. 

",,"The average pay for an Applications Development Manager, Computer Software is $129,477 per year.",US,USD,4.1,11.0,36.0,26.0,9.0
Applications Engineer,15-1030.00 - Computer Software Engineers,"Applications engineers work in many different industries and create, implement and maintain computer applications and software tailored to an organization's or customer's needs. This can be done by either modifying current software or completely designing a new project. Application engineers' work environments are generally in an office setting with much of their time spent in front of a computer testing and writing software. They may also work with teams of other engineers that break apart a large task into smaller ones for easier manageability, and they will usually have a manager that they work under. The industries that employ application engineers range from healthcare and finance, to sales and marketing, so there are many types of career options for application engineers. Banks hire them to create online banking applications for their customers and mechanical industries can hire them to program large machines for production. 
Application engineers can be either self-employed or work for a company as part of a developing team. They are typically required to have at least a minimum of a bachelor's degree in a computer information technology area such as computer science, computer engineering or mechanical engineering, but many hiring companies value equivalent working experience in the field. They must have strong verbal, mathematical reasoning and problem solving skills, and there are also optional certifications for new engineers to help establish themselves in the field. They also will need to be well-versed in different programming languages like C, Java, C#, C++, Python, Ruby and JavaScript, and many jobs require their engineers to be familiar with the Linux platform. ",The average pay for an Applications Engineer is $32.19 per hour.,"The average pay for an Applications Engineer is $79,163 per year.",US,USD,3.75,416.0,1209.0,1001.0,199.0
"Applications Engineer, Electrical",15-1030.00 - Computer Software Engineers,"Electrical applications engineers are in charge of engineering-related aspects of the application and automation of electrical systems for their organization. They are responsible for creating applications for electrical projects, working with automation tools to develop effective electrical solutions that are scalable, and following strict safety regulations when installing and deploying electrical applications. They actively participate in the electrical design and building of power systems, as well as troubleshoot application scripts and improve efficiency by removing code that is not longer needed. Additionally, these engineers use a personal computer to develop electrical applications using project requirements based on their engineering expertise. 
Electrical applications engineers participate in technical meetings to suggest changes to electrical specifications, as well as help with the development of technical documentation and create detailed reports based on their performance and findings. They share technical and applications data with other departments, take part in the electrical applications testing and maintenance, and provide support for troubleshooting activities. Electrical applications engineers coordinate equipment selection, installation, and performance review. They report their progress to the electrical applications supervisor in their department and escalate safety concern as required. 
A bachelor's degree in electrical engineering or a related field is required for this position. Previous experience in an electrical engineering role is generally required or preferred, and industry certifications may be beneficial. Electrical applications engineers must be results-driven, have strong analytical skills, pay close attention to detail, and be able to multitask on a variety of projects. They need to be able to work well with other applications engineers in a team environment to reach all company objectives in a timely manner; however, they should also be able to perform effectively on their own with minimal supervision. ",,"The average pay for an Applications Engineer, Electrical is $71,842 per year.",US,USD,3.67,3.0,8.0,6.0,2.0
Applications Engineering Manager,11-3020.00 - Computer and Information Systems Managers,"Applications engineering managers are in charge of supporting the design and accuracy of engineering applications for their organization. They are responsible for development and for finding solutions to production and engineering issues as they arise, as well as work to overcome obstacles for application standard compliance. They verify application requirements and create complex reports based on their findings. In all tasks, they must follow strict regulations regarding safety policies.
Other tasks performed by the applications engineering manager include supervising code development and design tasks, providing technical support to manufacturing and quality control staff, and working with other managers to achieve company objectives in a timely manner. They participate in training sessions and act as a coach for junior members and engineers. Additionally, applications engineering managers use their mechanical design knowledge to provide innovative solution in application development and implementation. They also provide volume schedules while leading a group of engineers, assist with product-planning activities to create more efficient tasks, and suggest changes to the production process. 
A bachelor's degree in mechanical engineering, applications engineering, or a related field is necessary for this job. Previous experience in a managerial position is generally required. Industry and leadership certifications may be preferred. Applications engineering managers must have analytical skills that allow them to process large amounts of information and detect engineering patterns. In addition, they should have an advanced understanding of fluid dynamics and possess strong communication skills to interact with other engineers in their department.",,"The average pay for an Applications Engineering Manager is $107,950 per year.",US,USD,3.94,34.0,87.0,73.0,14.0
Applications Programmer,15-1030.00 - Computer Software Engineers,"Companies that develop and/or design software solutions or applications - whether they are used for business, entertainment, or some mix of both - are typical employers for applications programmers. The programmer performs coding, compiling, and even some initial testing when developing a new application or updating and revising an existing one. Typically, with larger companies, an application programmer works as part of a team in development, design, or web applications. The programmer must be proficient with a variety of computer languages, usually specified by the employer posting the job. For companies actively developing for platforms such as iOS or Android, an applications programmer also need to be familiar with the use of relevant development kits and tools as well.
Applications programmers typically work off design and development documentation, schematics, and templates developed by team leads. They are expected to be able to meet deadlines and help troubleshoot any difficulties in the programming or development process. They also are expected to write “clean” code that adheres to best practices in programming and can be easily revised or built upon by other members of the team concurrently or in future versions.
While some work in applications programming may be found based on the applicant's experience in the field, larger developers with contract work typically seek individuals with some certification and at least a bachelor's degree in computer science or a related field. Employers generally prefer applications programmers who have demonstrated an ability to get products to market and efficiently create code for specific platforms. ",The average pay for an Applications Programmer is $30.64 per hour.,"The average pay for an Applications Programmer is $71,749 per year.",US,USD,3.95,23.0,59.0,41.0,18.0
Applications Support Lead,15-1040.00 - Computer Support Specialists,,The average pay for an Applications Support Lead is $26.71 per hour.,"The average pay for an Applications Support Lead is $85,870 per year.",US,USD,3.42,13.0,48.0,27.0,21.0
Applications Systems Analyst,15-1050.00 - Computer Systems Analysts,"Application systems analysts consult with management and help develop software to fit clients' needs. Application systems analyst must provide accurate, quality analyses of new program applications, as well as conduct testing, locate potential problems, and solve them in an efficient manner. Clients' needs may vary widely (for example, they may work in the medical field or in the securities industry), and staying up to date with software and technology trends in their field are essential. 
Companies that require analysts are mostly in the fields of business, accounting, security, and scientific engineering. Application systems analysts work with other analysts and program designers, as well as managers and clients. These analysts generally work in an office setting, but there are exceptions when clients may need services at their office or home. Application systems analysts usually work full time, although they may need to work nights and weekends to resolve emerging issues or when deadlines approach; some companies may require analysts to be on call. 
Analyst positions typically require at least a bachelor's degree in computer science or a related field, and a master's degree may be required. Previous information technology experience - preferably in a similar role - is required as well. Application systems analysts must have excellent communication skills, as they often work directly with clients and may be required to train other analysts. Flexibility, the ability to work well in teams, and the ability to work well with minimal supervision are also preferred traits. ",The average pay for an Applications Systems Analyst is $29.87 per hour.,"The average pay for an Applications Systems Analyst is $75,770 per year.",US,USD,3.78,98.0,274.0,148.0,122.0
Applications Systems Analyst/Programmer,15-1050.00 - Computer Systems Analysts,"Applications systems analysts/programmers are in charge of analyzing and developing programming logic for software packages in their organization. They are responsible for coding specific requirements based on company objectives. Their main duties include testing a variety of computer programs and measuring their performance using advanced tools, as well as creating documentation based on their findings and integrating application components. They also recommend changes to improve systems, analyze business needs and translate them into product design, and write technical specifications for other analysts to use.  
Applications systems analysts/programmers create initiatives to streamline processes and follow up after the testing phase. They should also actively participate in the design process and software development, as well as guide other programmers and collaborate in the security model tasks. They provide their expertise in implementing technical solutions to existing software issues, customize workflows, and improve validation and deployment efforts. They assist with capacity planning and follow strict performance standards, conduct planning and analysis activities, and create forecasts based on those projects. 
A bachelor's degree in software development, computer science, or a related field is necessary for this position. In addition, experience in a similar position and industry certifications may be preferred. Applications systems analysts/programmers must have an extensive knowledge of programming languages and the ability to troubleshoot and identify memory-consuming processes. They should have excellent interpersonal skills to interact with members of their organization and share important information. Additionally, they need to possess advanced analytical skills to identify efficiency opportunities and improve product performance.",The average pay for an Applications Systems Analyst/Programmer is $33.62 per hour.,"The average pay for an Applications Systems Analyst/Programmer is $76,974 per year.",US,USD,4.38,41.0,96.0,61.0,35.0
Applications Systems and Program Manager,11-3020.00 - Computer and Information Systems Managers,"Applications systems and program managers are responsible for managing the development of programs and applications systems for their organization. They are in charge of planning requirements with internal and external clients and managing projects through their entire life cycle. Some of the applications systems and program manager's main responsibilities include managing project schedules, identifying risks, creating budgets, and ensuring effective communication among relevant teams. They also track engineering schedules and budgets, as well as allocate resources as needed. 
Applications systems and program managers must find and resolve any quality issues in the application systems, as well as track, identify, and mitigate system or component failures as they arise. One of their main duties include coaching new staff and participating in technical trainings for applications systems. In addition, they monitor compliance with the organization's information security policies and procedures to increase safety and privacy controls.  Applications systems and program managers are responsible for providing information to other relevant departments for the technology planning process. They supervise and mentor technical staff as well.
A bachelor's degree in computer science or a related field is required for this position. Previous experience - including in a managerial capacity - is generally needed as well. Industry and leadership certifications may be beneficial. Applications systems and program managers need to have strong analytical, communication, and multitasking skills. They should work well in a team setting, as well as on their own with minimal supervision.",The average pay for an Applications Systems And Program Manager is $54.89 per hour.,"The average pay for an Applications Systems And Program Manager is $109,202 per year.",US,USD,4.27,11.0,35.0,22.0,12.0
